area,pos_area,habilidade,aban,a,b,DIF_TRI,acerto_esperado_θ0,tier,categoria
CH,1,H1,,1.253,0.639,54,46,A-,Médio
CH,2,H10,,2.105,0.423,57,43,A,Médio
CH,3,H12,,2.207,0.638,67,33,A,Difícil
CH,4,H23,,1.657,1.487,78,22,A,Muito difícil
CH,5,H8,,2.662,0.082,45,55,A+,Fácil
CH,6,H27,,2.279,0.421,59,41,A,Médio
CH,7,H24,,1.626,2.766,79,21,A,Muito difícil
CH,8,H25,,2.525,0.944,77,23,A+,Muito difícil
CH,9,H21,,1.501,0.443,53,47,A,Médio
CH,10,H10,,1.318,-0.057,38,62,A-,Fácil
CH,11,H18,,2.711,0.459,64,36,A+,Médio
CH,12,H22,,2.466,1.419,74,26,A,Difícil
CH,13,H29,,2.225,0.810,71,29,A,Difícil
CH,14,H10,,1.644,-0.002,40,60,A,Fácil
CH,15,H13,,3.173,0.060,44,56,A+,Fácil
CH,16,H9,,2.522,0.827,69,31,A+,Difícil
CH,17,H29,SIM,,,,,,
CH,18,H13,,1.484,0.972,66,34,A,Médio
CH,19,H26,,0.908,1.092,57,43,A-,Médio
CH,20,H11,,2.183,1.421,80,20,A,Muito difícil
CH,21,H15,,2.730,0.709,72,28,A+,Difícil
CH,22,H23,,1.802,0.072,44,56,A,Fácil
CH,23,H15,,2.278,2.482,72,28,A,Difícil
CH,24,H23,,1.260,1.179,66,34,A-,Difícil
CH,25,H17,,2.081,0.941,82,18,A,Muito difícil
CH,26,H3,,2.026,-0.343,27,73,A,Fácil
CH,27,H14,,1.600,1.170,67,33,A,Difícil
CH,28,H14,,1.601,1.862,66,34,A,Difícil
CH,29,H15,,1.547,0.766,62,38,A,Médio
CH,30,H7,,1.319,-0.207,35,65,A-,Fácil
CH,31,H29,,1.330,1.171,56,44,A-,Médio
CH,32,H28,,2.033,0.219,48,52,A,Médio
CH,33,H16,,2.660,1.413,79,21,A+,Muito difícil
CH,34,H26,,0.656,0.010,39,61,A-,Fácil
CH,35,H5,,2.353,0.459,60,40,A,Médio
CH,36,H11,,1.969,-0.059,38,62,A,Fácil
CH,37,H2,,1.428,1.905,79,21,A,Muito difícil
CH,38,H28,,2.483,2.853,67,33,A,Difícil
CH,39,H3,,1.190,-0.204,35,65,A-,Fácil
CH,40,H30,,1.194,-0.042,39,61,A-,Fácil
CH,41,H4,,2.721,1.307,76,24,A+,Muito difícil
CH,42,H22,,2.548,0.106,45,55,A+,Fácil
CH,43,H7,,2.943,1.655,80,20,A+,Muito difícil
CH,44,H19,,2.324,0.810,73,27,A,Difícil
CH,45,H2,,2.581,1.450,84,16,A+,Muito difícil
LC,1,H5,,2.698,0.953,78,22,A+,Muito difícil
LC,2,H7,,2.572,0.740,71,29,A+,Difícil
LC,3,H5,,2.886,0.921,68,32,A+,Difícil
LC,4,H6,,2.868,1.159,79,21,A+,Muito difícil
LC,5,H8,,2.666,1.337,77,23,A+,Muito difícil
LC,6,H9,,1.523,0.678,55,45,A,Médio
LC,7,H1,,2.084,0.497,56,44,A,Médio
LC,8,H22,,1.994,0.604,62,38,A,Médio
LC,9,H12,,0.982,0.686,51,49,A-,Fácil
LC,10,H23,,3.305,0.070,46,54,A+,Fácil
LC,11,H28,,2.393,0.335,56,44,A,Médio
LC,12,H4,,2.301,0.167,48,52,A,Fácil
LC,13,H15,,1.695,0.657,60,40,A,Médio
LC,14,H29,,2.138,1.044,68,32,A,Difícil
LC,15,H10,,2.431,-0.428,21,79,A,Fácil
LC,16,H15,,2.248,1.484,82,18,A,Muito difícil
LC,17,H20,,1.732,2.086,84,16,A,Muito difícil
LC,18,H18,,1.375,1.165,69,31,A,Difícil
LC,19,H17,,1.168,0.881,59,41,A-,Médio
LC,20,H14,,1.738,0.982,65,35,A,Difícil
LC,21,H11,,1.354,1.292,69,31,A,Difícil
LC,22,H16,,1.235,0.605,54,46,A-,Médio
LC,23,H19,,3.446,0.430,71,29,A+,Difícil
LC,24,H23,,2.428,1.205,80,20,A,Muito difícil
LC,25,H16,,2.009,2.052,76,24,A,Muito difícil
LC,26,H24,,2.706,0.792,72,28,A+,Muito difícil
LC,27,H20,,2.176,0.223,50,50,A,Fácil
LC,28,H19,,1.291,0.444,50,50,A-,Fácil
LC,29,H21,,1.062,-0.506,29,71,A-,Fácil
LC,30,H18,,1.700,1.004,73,27,A,Muito difícil
LC,31,H28,,3.219,-0.075,36,64,A+,Fácil
LC,32,H2,,2.670,-0.324,24,76,A+,Fácil
LC,33,H3,,1.464,0.992,66,34,A,Difícil
LC,34,H3,,1.599,0.015,40,60,A,Fácil
LC,35,H1,,2.634,0.481,62,38,A+,Médio
LC,36,H30,,3.264,0.265,57,43,A+,Médio
LC,37,H17,,1.530,0.988,68,32,A,Difícil
LC,38,H24,,3.990,0.678,77,23,A+,Muito difícil
LC,39,H22,,2.256,0.431,64,36,A,Médio
LC,40,H25,,1.921,0.872,68,32,A,Difícil
LC,41,H26,,1.329,-0.103,39,61,A-,Fácil
LC,42,H13,,1.420,0.620,55,45,A,Médio
LC,43,H27,,2.608,0.653,72,28,A+,Difícil
LC,44,H11,,1.137,-0.236,34,66,A-,Fácil
LC,45,H17,,1.773,1.520,79,21,A,Muito difícil
MT,1,H13,,1.624,2.173,79,21,A,Médio
MT,2,H4,,1.885,0.913,76,24,A,Fácil
MT,3,H20,,3.712,2.192,95,5,A+,Muito difícil
MT,4,H1,,1.504,1.296,69,31,A,Fácil
MT,5,H1,,1.495,-1.065,14,86,A,Fácil
MT,6,H3,,3.623,2.158,78,22,A+,Médio
MT,7,H16,,1.680,1.422,81,19,A,Difícil
MT,8,H11,,3.238,1.070,87,13,A+,Muito difícil
MT,9,H18,,2.211,2.331,81,19,A,Difícil
MT,10,H30,,2.277,1.726,71,29,A,Fácil
MT,11,H5,,1.258,1.791,79,21,A-,Médio
MT,12,H23,,2.237,2.446,85,15,A,Difícil
MT,13,H2,,1.779,1.832,79,21,A,Médio
MT,14,H9,,2.066,1.610,81,19,A,Difícil
MT,15,H24,,1.039,2.008,72,28,A-,Fácil
MT,16,H14,,3.029,2.016,87,13,A+,Muito difícil
MT,17,H7,,1.048,2.553,76,24,A-,Fácil
MT,18,H27,,1.812,0.733,62,38,A,Fácil
MT,19,H12,,2.145,1.851,89,11,A,Muito difícil
MT,20,H26,,1.995,1.438,83,17,A,Difícil
MT,21,H28,,2.774,2.353,93,7,A+,Muito difícil
MT,22,H25,,1.610,1.581,81,19,A,Difícil
MT,23,H25,,1.617,2.381,84,16,A,Difícil
MT,24,H28,,3.769,2.839,80,20,A+,Médio
MT,25,H27,,2.166,1.756,83,17,A,Difícil
MT,26,H15,,3.443,2.402,89,11,A+,Muito difícil
MT,27,H22,,1.949,2.914,72,28,A,Fácil
MT,28,H17,,2.088,1.789,85,15,A,Muito difícil
MT,29,H6,,1.614,1.777,81,19,A,Difícil
MT,30,H29,,2.573,1.667,75,25,A+,Fácil
MT,31,H19,,3.170,1.884,79,21,A+,Médio
MT,32,H14,,2.712,3.001,90,10,A+,Muito difícil
MT,33,H24,,2.026,1.883,77,23,A,Médio
MT,34,H13,,2.982,1.946,87,13,A+,Muito difícil
MT,35,H26,,1.493,2.534,80,20,A,Médio
MT,36,H17,,1.097,2.015,78,22,A-,Médio
MT,37,H21,,2.387,2.002,79,21,A,Médio
MT,38,H10,,0.910,-0.833,26,74,A-,Fácil
MT,39,H11,,1.142,2.431,73,27,A-,Fácil
MT,40,H23,,2.298,2.560,75,25,A,Fácil
MT,41,H2,,2.429,2.073,78,22,A,Médio
MT,42,H9,,2.446,1.839,85,15,A,Muito difícil
MT,43,H19,,2.336,2.123,91,9,A,Muito difícil
MT,44,H5,,3.106,3.296,83,17,A+,Difícil
MT,45,H16,,2.328,2.688,83,17,A,Difícil
CN,1,H14,,2.187,0.291,54,46,A,Fácil
CN,2,H2,,3.336,0.988,77,23,A+,Difícil
CN,3,H30,,2.251,-0.281,28,72,A,Fácil
CN,4,H3,,1.149,-0.321,32,68,A-,Fácil
CN,5,H4,,0.897,-0.149,36,64,A-,Fácil
CN,6,H18,,2.032,0.259,48,52,A,Fácil
CN,7,H26,,2.909,1.358,72,28,A+,Difícil
CN,8,H16,,1.129,1.325,59,41,A-,Médio
CN,9,H28,,1.420,1.387,76,24,A,Difícil
CN,10,H10,,1.752,2.076,89,11,A,Muito difícil
CN,11,H12,,1.986,0.753,70,30,A,Médio
CN,12,H22,,1.758,0.423,57,43,A,Fácil
CN,13,H9,,3.263,1.607,73,27,A+,Difícil
CN,14,H18,,2.211,1.216,71,29,A,Difícil
CN,15,H25,,3.071,1.727,68,32,A+,Médio
CN,16,H23,,2.513,1.797,76,24,A+,Difícil
CN,17,H20,,3.173,1.749,74,26,A+,Difícil
CN,18,H27,,3.045,1.391,79,21,A+,Muito difícil
CN,19,H11,,1.914,1.522,83,17,A,Muito difícil
CN,20,H7,,7.351,1.319,87,13,A+,Muito difícil
CN,21,H15,,2.497,0.931,62,38,A,Médio
CN,22,H19,,1.761,1.793,78,22,A,Muito difícil
CN,23,H29,,1.573,2.634,81,19,A,Muito difícil
CN,24,H3,,2.788,2.002,81,19,A+,Muito difícil
CN,25,H6,,3.990,2.397,67,33,A+,Médio
CN,26,H25,,1.700,2.409,77,23,A,Difícil
CN,27,H25,,2.119,2.314,71,29,A,Difícil
CN,28,H12,,1.257,-0.422,29,71,A-,Fácil
CN,29,H22,,3.632,1.755,93,7,A+,Muito difícil
CN,30,H30,,1.872,1.759,70,30,A,Médio
CN,31,H5,,3.943,1.659,70,30,A+,Médio
CN,32,H6,,2.906,1.878,90,10,A+,Muito difícil
CN,33,H21,,6.520,1.226,78,22,A+,Difícil
CN,34,H7,,2.336,1.926,88,12,A,Muito difícil
CN,35,H13,,5.335,1.446,80,20,A+,Muito difícil
CN,36,H17,,2.559,1.296,78,22,A+,Difícil
CN,37,H19,,1.428,1.159,66,34,A,Médio
CN,38,H13,,1.180,1.006,54,46,A-,Fácil
CN,39,H5,,2.416,2.522,61,39,A,Médio
CN,40,H8,,1.267,1.192,64,36,A-,Médio
CN,41,H16,,1.064,-0.792,24,76,A-,Fácil
CN,42,H4,,1.471,-0.246,33,67,A,Fácil
CN,43,H9,,1.970,0.487,60,40,A,Médio
CN,44,H29,,1.401,0.352,49,51,A,Fácil
CN,45,H16,,2.385,0.270,54,46,A,Fácil
